Institution,GradRate,PellGradRate,FinAidAward,FinAidAvg,PellGrantAward,PellGrantAvg,InStatePrice,OutStatePrice,Enrollment,Urbanization
Texas A & M International University,23,46,81,9044,63,5245,17983,28251,7640,11
Texas A & M University-College Station,55,80,76,9597,23,4710,28476,53848,67929,12
Texas A & M University-Commerce,24,34,93,9620,56,5059,21651,34101,13244,32
Texas A & M University-Corpus Christi,17,30,72,8762,46,4966,21327,31502,12236,11
Texas A & M University-Kingsville,20,31,89,8293,57,4853,22825,36465,8674,32
Texas A&M University-San Antonio,,,84,7372,57,4758,25408,37596,6346,41
Texas A&M University-Texarkana,16,26,92,7738,49,4605,20254,31666,2066,41
Texas Southern University,7,20,95,8765,79,5049,25271,37721,10237,11
Texas State University,29,50,82,10209,41,4834,22625,34245,38666,23
Texas Tech University,34,51,78,7454,25,4661,23633,33425,36996,11
Texas Woman's University,22,36,93,8841,53,4829,19723,29683,15473,12
The College of New Jersey,76,81,83,10335,17,4550,34468,45897,7552,21
The Evergreen State College,42,54,89,7424,43,4483,21382,38842,3907,22
The University of Alabama,50,58,80,16693,17,4611,29424,46744,38563,13
The University of Montana,27,35,89,6057,38,4704,20476,38356,11865,13
The University of Montana-Western,21,40,89,7696,43,4241,18428,29642,1538,33
The University of Tennessee Institute for Public Service,,,,,,,,,,
The University of Tennessee-Chattanooga,26,44,96,8317,35,4748,22764,38882,11587,12
The University of Tennessee-Knoxville,49,64,94,9890,27,4818,30930,49350,28321,12
The University of Tennessee-Martin,27,40,98,9313,51,4730,20206,25966,6772,33
The University of Texas at Arlington,23,48,91,10281,44,4816,24660,39860,46497,11
The University of Texas at Austin,61,73,65,11217,22,4806,25440,51786,51525,11
The University of Texas at Dallas,54,69,77,14566,27,4775,27360,45488,27642,12
The University of Texas at El Paso,15,36,88,9068,68,5064,23210,36955,25078,11
The University of Texas at San Antonio,18,39,83,7035,45,4688,23285,34484,30768,11
The University of Texas at Tyler,26,41,82,6982,29,4722,20902,33952,10402,12
The University of Texas of the Permian Basin,23,37,91,7945,41,5031,21394,22234,7022,12
The University of Texas Rio Grande Valley,21,44,93,9277,71,5523,20035,29995,27809,13
The University of Virginia's College at Wise,25,48,86,12451,44,4735,24149,41379,2095,32
The University of West Florida,22,36,89,8025,35,4821,19014,31895,13040,13
Thomas Edison State University,,,,,,,,,11945,13
Towson University,47,72,81,8568,29,4734,26308,38754,22705,13
Troy University,21,32,94,8016,46,4719,19815,27399,17521,33
Truman State University,56,66,100,8950,26,4352,21094,27878,6272,33
United States Air Force Academy,80,,,,,,,,4276,31
United States Coast Guard Academy,81,,,,,,,,1044,13
United States Merchant Marine Academy,81,89,38,4142,16,4142,8646,8646,975,21
United States Military Academy,81,,,,,,,,4491,31
United States Naval Academy,90,,,,,,,,4495,21
University at Buffalo,60,73,83,8774,36,5076,26158,43398,30648,21
University of Akron Main Campus,19,25,95,7603,43,4471,26086,34617,20169,12
University of Alabama at Birmingham,35,48,94,9375,38,5365,26096,36800,20902,12
University of Alabama in Huntsville,22,42,94,11245,27,4424,25681,36881,9101,12
University of Alaska Anchorage,11,21,82,6473,33,4326,27098,39902,15733,11
